starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 03 16:31:48 2023	1677857508	0	81	81	81
Fri Mar 03 16:31:41 2023	1677857501	0	81	81	81
Fri Mar 03 16:31:41 2023	1677857501	0	82	82	81
Fri Mar 03 16:31:47 2023	1677857507	0	82	82	81
Fri Mar 03 16:31:47 2023	1677857507	0	82	82	82
Fri Mar 03 16:31:46 2023	1677857506	0	82	82	82
Fri Mar 03 16:31:46 2023	1677857506	0	82	82	78
Fri Mar 03 16:31:48 2023	1677857508	0	82	83	82
Fri Mar 03 16:31:42 2023	1677857502	0	83	83	82
Fri Mar 03 16:31:43 2023	1677857503	0	83	83	82
Fri Mar 03 16:31:44 2023	1677857504	0	83	83	82
Fri Mar 03 16:31:48 2023	1677857508	0	83	83	67
Fri Mar 03 16:31:49 2023	1677857509	0	83	83	83
Fri Mar 03 16:31:45 2023	1677857505	0	83	83	83
Fri Mar 03 16:31:48 2023	1677857508	0	83	83	83
Fri Mar 03 16:31:47 2023	1677857507	0	83	84	83
Fri Mar 03 16:31:42 2023	1677857502	0	84	84	83
Fri Mar 03 16:31:46 2023	1677857506	0	84	84	83
Fri Mar 03 16:31:44 2023	1677857504	0	84	84	83
Fri Mar 03 16:31:46 2023	1677857506	0	84	84	84
Fri Mar 03 16:31:48 2023	1677857508	0	84	84	83
Fri Mar 03 16:31:41 2023	1677857501	0	84	84	84
Fri Mar 03 16:31:48 2023	1677857508	0	84	84	82
Fri Mar 03 16:31:47 2023	1677857507	0	85	85	84
Fri Mar 03 16:31:48 2023	1677857508	0	85	85	84
Fri Mar 03 16:31:43 2023	1677857503	0	85	85	84
Fri Mar 03 16:31:46 2023	1677857506	0	85	85	84
Fri Mar 03 16:31:46 2023	1677857506	0	85	85	82
Fri Mar 03 16:31:44 2023	1677857504	0	85	85	84
Fri Mar 03 16:31:43 2023	1677857503	0	85	85	85
Fri Mar 03 16:31:47 2023	1677857507	0	85	85	85
Fri Mar 03 16:31:41 2023	1677857501	0	85	85	59
Fri Mar 03 16:31:46 2023	1677857506	0	86	86	85
Fri Mar 03 16:31:45 2023	1677857505	0	86	86	45
Fri Mar 03 16:31:46 2023	1677857506	0	86	86	85
Fri Mar 03 16:31:42 2023	1677857502	0	86	87	86
Fri Mar 03 16:31:42 2023	1677857502	0	87	87	79
Fri Mar 03 16:31:47 2023	1677857507	0	87	87	86
Fri Mar 03 16:31:46 2023	1677857506	0	87	87	83
Fri Mar 03 16:31:48 2023	1677857508	0	87	87	86
Fri Mar 03 16:31:43 2023	1677857503	0	87	87	87
Fri Mar 03 16:31:47 2023	1677857507	0	88	88	87
Fri Mar 03 16:31:42 2023	1677857502	0	88	88	88
Fri Mar 03 16:31:45 2023	1677857505	0	88	88	88
Fri Mar 03 16:31:44 2023	1677857504	0	89	89	88
Fri Mar 03 16:31:42 2023	1677857502	0	89	89	88
Fri Mar 03 16:31:48 2023	1677857508	0	89	89	89
Fri Mar 03 16:31:44 2023	1677857504	0	89	89	89
Fri Mar 03 16:31:45 2023	1677857505	0	89	89	89
Fri Mar 03 16:31:45 2023	1677857505	0	89	90	89
Fri Mar 03 16:31:43 2023	1677857503	0	90	90	89
Fri Mar 03 16:31:48 2023	1677857508	0	90	90	90
Fri Mar 03 16:31:48 2023	1677857508	0	90	90	89
Fri Mar 03 16:31:43 2023	1677857503	0	90	90	90
Fri Mar 03 16:31:44 2023	1677857504	0	90	90	89
Fri Mar 03 16:31:46 2023	1677857506	0	90	91	90
Fri Mar 03 16:31:44 2023	1677857504	0	91	91	86
Fri Mar 03 16:31:47 2023	1677857507	0	91	91	88
Fri Mar 03 16:31:48 2023	1677857508	0	91	91	90
Fri Mar 03 16:31:44 2023	1677857504	0	91	91	91
Fri Mar 03 16:31:42 2023	1677857502	0	91	91	91
Fri Mar 03 16:31:48 2023	1677857508	0	91	91	91
Fri Mar 03 16:31:42 2023	1677857502	0	91	91	90
Fri Mar 03 16:31:41 2023	1677857501	0	91	92	91
Fri Mar 03 16:31:47 2023	1677857507	0	92	92	91
Fri Mar 03 16:31:49 2023	1677857509	0	92	92	92
Fri Mar 03 16:31:47 2023	1677857507	0	92	92	91
Fri Mar 03 16:31:44 2023	1677857504	0	92	92	92
Fri Mar 03 16:31:42 2023	1677857502	0	92	92	91
Fri Mar 03 16:31:44 2023	1677857504	0	92	93	92
Fri Mar 03 16:31:47 2023	1677857507	0	93	93	92
Fri Mar 03 16:31:47 2023	1677857507	0	93	93	91
Fri Mar 03 16:31:48 2023	1677857508	0	93	93	92
Fri Mar 03 16:31:43 2023	1677857503	0	93	93	93
Fri Mar 03 16:31:44 2023	1677857504	0	93	93	93
Fri Mar 03 16:31:46 2023	1677857506	0	94	94	93
Fri Mar 03 16:31:47 2023	1677857507	0	94	94	94
Fri Mar 03 16:31:48 2023	1677857508	0	94	94	94
Fri Mar 03 16:31:41 2023	1677857501	0	94	95	94
Fri Mar 03 16:31:43 2023	1677857503	0	95	95	94
Fri Mar 03 16:31:46 2023	1677857506	0	95	95	95
Fri Mar 03 16:31:49 2023	1677857509	0	95	95	95
Fri Mar 03 16:31:42 2023	1677857502	0	95	95	95
Fri Mar 03 16:31:46 2023	1677857506	0	95	95	95
Fri Mar 03 16:31:43 2023	1677857503	0	96	96	95
Fri Mar 03 16:31:47 2023	1677857507	0	96	96	89
Fri Mar 03 16:31:45 2023	1677857505	0	96	96	96
Fri Mar 03 16:31:44 2023	1677857504	0	96	96	96
Fri Mar 03 16:31:44 2023	1677857504	0	96	96	96
Fri Mar 03 16:31:47 2023	1677857507	0	96	96	96
Fri Mar 03 16:31:42 2023	1677857502	0	97	97	96
Fri Mar 03 16:31:47 2023	1677857507	0	97	97	87
Fri Mar 03 16:31:46 2023	1677857506	0	97	97	96
Fri Mar 03 16:31:46 2023	1677857506	0	97	97	29
Fri Mar 03 16:31:46 2023	1677857506	0	97	97	96
Fri Mar 03 16:31:48 2023	1677857508	0	98	98	97
Fri Mar 03 16:31:45 2023	1677857505	0	98	98	98
Fri Mar 03 16:31:42 2023	1677857502	0	98	98	98
Fri Mar 03 16:31:46 2023	1677857506	0	98	98	97
Fri Mar 03 16:31:42 2023	1677857502	0	98	98	98
Fri Mar 03 16:31:47 2023	1677857507	0	99	99	98
Fri Mar 03 16:31:47 2023	1677857507	0	99	99	98
Fri Mar 03 16:31:47 2023	1677857507	0	99	99	99
Fri Mar 03 16:31:48 2023	1677857508	0	99	99	99
Fri Mar 03 16:31:42 2023	1677857502	0	99	99	85
Fri Mar 03 16:31:48 2023	1677857508	0	100	100	99
Fri Mar 03 16:31:44 2023	1677857504	0	99	100	99
Fri Mar 03 16:31:44 2023	1677857504	0	100	100	99
Fri Mar 03 16:31:48 2023	1677857508	0	100	100	99
Fri Mar 03 16:31:46 2023	1677857506	0	100	100	99
Fri Mar 03 16:31:43 2023	1677857503	0	100	100	99
Fri Mar 03 16:31:47 2023	1677857507	0	100	100	87
Fri Mar 03 16:31:43 2023	1677857503	0	100	100	100
Fri Mar 03 16:31:48 2023	1677857508	0	100	100	100
Fri Mar 03 16:31:49 2023	1677857509	0	100	100	100
Fri Mar 03 16:31:43 2023	1677857503	0	100	100	100
Fri Mar 03 16:31:46 2023	1677857506	0	101	101	100
Fri Mar 03 16:31:47 2023	1677857507	0	101	101	100
Fri Mar 03 16:31:48 2023	1677857508	0	101	101	101
Fri Mar 03 16:31:49 2023	1677857509	0	101	101	101
Fri Mar 03 16:31:44 2023	1677857504	0	101	101	101
Fri Mar 03 16:31:47 2023	1677857507	0	101	101	101
Fri Mar 03 16:31:46 2023	1677857506	0	101	101	101
Fri Mar 03 16:31:44 2023	1677857504	0	101	101	97
Fri Mar 03 16:31:42 2023	1677857502	0	101	101	101
Fri Mar 03 16:31:49 2023	1677857509	0	102	102	101
Fri Mar 03 16:31:48 2023	1677857508	0	102	102	96
Fri Mar 03 16:31:48 2023	1677857508	0	102	102	96
Fri Mar 03 16:31:46 2023	1677857506	0	103	103	102
Fri Mar 03 16:31:42 2023	1677857502	0	103	103	102
Fri Mar 03 16:31:44 2023	1677857504	0	103	103	103
Fri Mar 03 16:31:43 2023	1677857503	0	104	104	103
Fri Mar 03 16:31:48 2023	1677857508	0	104	104	103
Fri Mar 03 16:31:49 2023	1677857509	0	104	104	103
Fri Mar 03 16:31:44 2023	1677857504	0	104	104	101
Fri Mar 03 16:31:43 2023	1677857503	0	104	105	101
Fri Mar 03 16:31:49 2023	1677857509	0	104	105	103
Fri Mar 03 16:31:46 2023	1677857506	0	105	105	104
