starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 03 16:29:51 2023	1677857391	0	64	64	63
Fri Mar 03 16:29:55 2023	1677857395	0	64	64	63
Fri Mar 03 16:29:55 2023	1677857395	0	64	64	63
Fri Mar 03 16:29:55 2023	1677857395	0	64	64	64
Fri Mar 03 16:29:50 2023	1677857390	0	64	64	28
Fri Mar 03 16:29:54 2023	1677857394	0	64	64	29
Fri Mar 03 16:29:52 2023	1677857392	0	64	65	64
Fri Mar 03 16:29:54 2023	1677857394	0	65	65	49
Fri Mar 03 16:29:52 2023	1677857392	0	65	65	62
Fri Mar 03 16:29:52 2023	1677857392	0	65	65	64
Fri Mar 03 16:29:55 2023	1677857395	0	65	65	65
Fri Mar 03 16:29:52 2023	1677857392	0	65	65	65
Fri Mar 03 16:29:52 2023	1677857392	0	65	65	65
Fri Mar 03 16:29:51 2023	1677857391	0	65	65	65
Fri Mar 03 16:29:49 2023	1677857389	0	66	66	64
Fri Mar 03 16:29:55 2023	1677857395	0	66	66	65
Fri Mar 03 16:29:50 2023	1677857390	0	66	66	65
Fri Mar 03 16:29:52 2023	1677857392	0	66	66	65
Fri Mar 03 16:29:55 2023	1677857395	0	66	66	66
Fri Mar 03 16:29:52 2023	1677857392	0	66	66	66
Fri Mar 03 16:29:52 2023	1677857392	0	66	66	66
Fri Mar 03 16:29:49 2023	1677857389	0	66	66	44
Fri Mar 03 16:29:52 2023	1677857392	0	67	67	66
Fri Mar 03 16:29:54 2023	1677857394	0	67	67	66
Fri Mar 03 16:29:48 2023	1677857388	0	67	67	67
Fri Mar 03 16:29:54 2023	1677857394	0	67	67	67
Fri Mar 03 16:29:51 2023	1677857391	0	67	67	67
Fri Mar 03 16:29:51 2023	1677857391	0	67	67	67
Fri Mar 03 16:29:50 2023	1677857390	0	68	68	67
Fri Mar 03 16:29:51 2023	1677857391	0	68	68	67
Fri Mar 03 16:29:51 2023	1677857391	0	68	68	67
Fri Mar 03 16:29:51 2023	1677857391	0	68	68	68
Fri Mar 03 16:29:55 2023	1677857395	0	68	68	68
Fri Mar 03 16:29:52 2023	1677857392	0	68	68	68
Fri Mar 03 16:29:52 2023	1677857392	0	68	69	68
Fri Mar 03 16:29:54 2023	1677857394	0	69	69	68
Fri Mar 03 16:29:55 2023	1677857395	0	69	69	69
Fri Mar 03 16:29:55 2023	1677857395	0	69	69	68
Fri Mar 03 16:29:54 2023	1677857394	0	69	69	31
Fri Mar 03 16:29:52 2023	1677857392	0	69	69	69
Fri Mar 03 16:29:52 2023	1677857392	0	69	69	69
Fri Mar 03 16:29:51 2023	1677857391	0	69	69	69
Fri Mar 03 16:29:52 2023	1677857392	0	69	69	69
Fri Mar 03 16:29:54 2023	1677857394	0	70	70	38
Fri Mar 03 16:29:51 2023	1677857391	0	70	70	70
Fri Mar 03 16:29:55 2023	1677857395	0	71	71	70
